wellbore;md_top;md_bottom;formation;Level;npd_litho_id;npd_id
1/2-1;3059;3121;BALDER FM;FORMATION;6;1382
1/2-1;3121;3275;FORTIES FM;FORMATION;44;1382
1/2-1;3275;3335;LISTA FM;FORMATION;95;1382
1/2-1;3335;3407;MAUREEN FM;FORMATION;102;1382
1/2-1;3407;3514;EKOFISK FM;FORMATION;33;1382
1/2-1;3514;3574;TOR FM;FORMATION;171;1382
1/2-2;3077;3094;BALDER FM;FORMATION;6;5192
1/2-2;3094;3135;SELE FM;FORMATION;142;5192
1/2-2;3135;3296;FORTIES FM;FORMATION;44;5192
1/2-2;3296;3368;LISTA FM;FORMATION;95;5192
1/2-2;3368;3418;MAUREEN FM;FORMATION;102;5192
1/2-2;3418;3434;EKOFISK FM;FORMATION;33;5192
1/3-1;2995;3006;BALDER FM;FORMATION;6;154
1/3-1;3006;3013;SELE FM;FORMATION;142;154
1/3-1;3013;3095;LISTA FM;FORMATION;95;154
1/3-1;3095;3147;VIDAR FM;FORMATION;187;154
1/3-1;3147;3209;LISTA FM;FORMATION;95;154
1/3-1;3209;3258;VÅLE FM;FORMATION;190;154
1/3-1;3258;3354;EKOFISK FM;FORMATION;33;154
1/3-1;3354;3828;TOR FM;FORMATION;171;154
1/3-1;3828;4343;HOD FM;FORMATION;66;154
1/3-1;4343;4371;BLODØKS FM;FORMATION;13;154
1/3-1;4371;4441;HIDRA FM;FORMATION;65;154
1/3-1;4441;4482;RØDBY FM;FORMATION;137;154
1/3-1;4482;4671;SOLA FM;FORMATION;152;154
1/3-2;2964;2978;BALDER FM;FORMATION;6;165
1/3-2;2978;3067;SELE FM;FORMATION;142;165
1/3-2;3067;3136;LISTA FM;FORMATION;95;165
1/3-2;3136;3207;VÅLE FM;FORMATION;190;165
1/3-2;3207;3270;EKOFISK FM;FORMATION;33;165
1/3-2;3270;3729;TOR FM;FORMATION;171;165
1/3-2;3729;4024;HOD FM;FORMATION;66;165
1/3-2;4024;4060;BLODØKS FM;FORMATION;13;165
1/3-2;4060;4131;HIDRA FM;FORMATION;65;165
1/3-2;4131;4229;RØDBY FM;FORMATION;137;165
1/3-2;4229;4297;SOLA FM;FORMATION;152;165
1/3-3;2936;2984;BALDER FM;FORMATION;6;87
1/3-3;2984;2991;SELE FM;FORMATION;142;87
1/3-3;2991;3059;LISTA FM;FORMATION;95;87
1/3-3;3059;3148;VIDAR FM;FORMATION;187;87
1/3-3;3148;3180;LISTA FM;FORMATION;95;87
1/3-3;3180;3201;VÅLE FM;FORMATION;190;87
1/3-3;3201;3288;EKOFISK FM;FORMATION;33;87
1/3-3;3288;3803;TOR FM;FORMATION;171;87
1/3-3;3803;3852;HOD FM;FORMATION;66;87
1/3-3;3852;3887;BLODØKS FM;FORMATION;13;87
1/3-3;3887;4043;RØDBY FM;FORMATION;137;87
1/3-3;4043;4112;MANDAL FM;FORMATION;101;87
1/3-3;4112;4178;FARSUND FM;FORMATION;39;87
1/3-3;4178;4324;ULA FM;FORMATION;179;87
1/3-3;4324;4435;NO FORMAL NAME;FORMATION;111;87
1/3-3;4435;4542;ULA FM;FORMATION;179;87
1/3-3;4542;4620;BRYNE FM;FORMATION;19;87
1/3-3;4620;4820;SMITH BANK FM;FORMATION;149;87
1/3-4;2617;2629;BALDER FM;FORMATION;6;2
1/3-4;2629;2647;SELE FM;FORMATION;142;2
1/3-4;2647;2676;LISTA FM;FORMATION;95;2
1/3-4;2676;2688;VIDAR FM;FORMATION;187;2
1/3-4;2688;2724;LISTA FM;FORMATION;95;2
1/3-4;2724;2754;VÅLE FM;FORMATION;190;2
1/3-4;2754;2797;EKOFISK FM;FORMATION;33;2
1/3-4;2797;3123;TOR FM;FORMATION;171;2
1/3-4;3123;3160;HOD FM;FORMATION;66;2
1/3-5;3062;3070;BALDER FM;FORMATION;6;223
1/3-5;3070;3078;SELE FM;FORMATION;142;223
1/3-5;3078;3153;LISTA FM;FORMATION;95;223
1/3-5;3153;3206;VIDAR FM;FORMATION;187;223
1/3-5;3206;3245;LISTA FM;FORMATION;95;223
1/3-5;3245;3288;VÅLE FM;FORMATION;190;223
1/3-5;3288;3384;EKOFISK FM;FORMATION;33;223
1/3-5;3384;3858;TOR FM;FORMATION;171;223
1/3-5;3858;4568;HOD FM;FORMATION;66;223
1/3-5;4568;4580;HIDRA FM;FORMATION;65;223
1/3-5;4580;4604;RØDBY FM;FORMATION;137;223
1/3-5;4604;4625;SOLA FM;FORMATION;152;223
1/3-5;4625;4734;ÅSGARD FM;FORMATION;198;223
1/3-6;2823;2836;BALDER FM;FORMATION;6;1521
1/3-6;2836;2914;SELE FM;FORMATION;142;1521
1/3-6;2914;2999;FORTIES FM;FORMATION;44;1521
1/3-6;2999;3103;VÅLE FM;FORMATION;190;1521
1/3-6;3103;3201;EKOFISK FM;FORMATION;33;1521
1/3-6;3201;3530;TOR FM;FORMATION;171;1521
1/3-6;3530;3586;HOD FM;FORMATION;66;1521
1/3-7;3084;3102;BALDER FM;FORMATION;6;2505
1/3-7;3102;3175;SELE FM;FORMATION;142;2505
1/3-7;3175;3260;FORTIES FM;FORMATION;44;2505
1/3-7;3260;3315;LISTA FM;FORMATION;95;2505
1/3-7;3315;3345;VÅLE FM;FORMATION;190;2505
1/3-8;3127;3137;BALDER FM;FORMATION;6;2829
1/3-8;3137;3144;SELE FM;FORMATION;142;2829
1/3-8;3144;3202;LISTA FM;FORMATION;95;2829
1/3-8;3202;3278;VIDAR FM;FORMATION;187;2829
1/3-8;3278;3352;LISTA FM;FORMATION;95;2829
1/3-8;3352;3377;VÅLE FM;FORMATION;190;2829
1/3-8;3377;3478;EKOFISK FM;FORMATION;33;2829
1/3-8;3478;3949;TOR FM;FORMATION;171;2829
1/3-8;3949;4379;HOD FM;FORMATION;66;2829
1/3-8;4379;4402;BLODØKS FM;FORMATION;13;2829
1/3-8;4402;4456;HIDRA FM;FORMATION;65;2829
1/3-8;4456;4502;RØDBY FM;FORMATION;137;2829
1/3-8;4502;4556;SOLA FM;FORMATION;152;2829
1/3-8;4556;4685;TUXEN FM;FORMATION;175;2829
1/3-8;4685;4733;ÅSGARD FM;FORMATION;198;2829
1/3-8;4733;4742;MANDAL FM;FORMATION;101;2829
1/3-8;4742;5005;FARSUND FM;FORMATION;39;2829
1/3-8;5005;5086;ULA FM;FORMATION;179;2829
1/3-8;5086;5201;SMITH BANK FM;FORMATION;149;2829
1/3-9 S;3103;3125;BALDER FM;FORMATION;6;3362
1/3-9 S;3125;3155;SELE FM;FORMATION;142;3362
1/3-9 S;3155;3254;LISTA FM;FORMATION;95;3362
1/3-9 S;3254;3259;VIDAR FM;FORMATION;187;3362
1/3-9 S;3259;3292;LISTA FM;FORMATION;95;3362
1/3-9 S;3292;3319;VÅLE FM;FORMATION;190;3362
1/3-9 S;3319;3409;EKOFISK FM;FORMATION;33;3362
1/3-9 S;3409;3758;TOR FM;FORMATION;171;3362
1/3-9 S;3758;3895;HOD FM;FORMATION;66;3362
1/3-9 S;3895;3898;BLODØKS FM;FORMATION;13;3362
1/3-9 S;3898;3900;HIDRA FM;FORMATION;65;3362
1/3-9 S;3900;3933;RØDBY FM;FORMATION;137;3362
1/3-9 S;3933;3935;SOLA FM;FORMATION;152;3362
1/3-9 S;3935;3942;TUXEN FM;FORMATION;175;3362
1/3-9 S;3942;4119;ÅSGARD FM;FORMATION;198;3362
1/3-9 S;4119;4135;MANDAL FM;FORMATION;101;3362
1/3-9 S;4135;4266;FARSUND FM;FORMATION;39;3362
1/3-9 S;4266;4414;ULA FM;FORMATION;179;3362
1/3-9 S;4414;4431;NO FORMAL NAME;FORMATION;111;3362
1/3-9 S;4431;4516;ULA FM;FORMATION;179;3362
1/3-10;3059;3069;BALDER FM;FORMATION;6;5614
1/3-10;3069;3153;SELE FM;FORMATION;142;5614
1/3-10;3153;3205;FORTIES FM;FORMATION;44;5614
1/3-10;3205;3228;SELE FM;FORMATION;142;5614
1/3-10;3228;3288;LISTA FM;FORMATION;95;5614
1/3-10 A;3320;3348;BALDER FM;FORMATION;6;5779
1/3-10 A;3348;3516;SELE FM;FORMATION;142;5779
1/3-10 A;3516;3580;FORTIES FM;FORMATION;44;5779
1/3-10 A;3580;3632;SELE FM;FORMATION;142;5779
1/3-11;2594;2600;VADE FM;FORMATION;184;5806
1/3-11;2600;3194;NO FORMAL NAME;FORMATION;111;5806
1/3-11;3194;3205;BALDER FM;FORMATION;6;5806
1/3-11;3205;3282;SELE FM;FORMATION;142;5806
1/3-11;3282;3319;FORTIES FM;FORMATION;44;5806
1/3-11;3319;3343;SELE FM;FORMATION;142;5806
1/3-11;3343;3366;LISTA FM;FORMATION;95;5806
1/3-11;3366;3482;ANDREW FM;FORMATION;5;5806
1/3-11;3482;3502;VÅLE FM;FORMATION;190;5806
1/3-11;3502;3595;EKOFISK FM;FORMATION;33;5806
1/3-12 S;3248;3267;SELE FM;FORMATION;142;6260
1/3-12 S;3267;3272;FORTIES FM;FORMATION;44;6260
1/3-12 S;3272;3296;LISTA FM;FORMATION;95;6260
1/3-12 S;3296;3339;VIDAR FM;FORMATION;187;6260
1/3-12 S;3339;3449;LISTA FM;FORMATION;95;6260
1/3-12 S;3449;3473;MAUREEN FM;FORMATION;102;6260
1/3-12 S;3473;3581;EKOFISK FM;FORMATION;33;6260
1/3-12 S;3581;4092;TOR FM;FORMATION;171;6260
1/3-12 S;4092;5075;HOD FM;FORMATION;66;6260
1/3-12 S;5075;5082;BLODØKS FM;FORMATION;13;6260
1/3-12 S;5082;5188;HIDRA FM;FORMATION;65;6260
1/3-12 S;5188;5308;RØDBY FM;FORMATION;137;6260
1/3-12 S;5308;5346;SOLA FM;FORMATION;152;6260
1/3-12 S;5346;5398;TUXEN FM;FORMATION;175;6260
1/3-12 S;5398;5541;ÅSGARD FM;FORMATION;198;6260
1/3-12 S;5541;5556;MANDAL FM;FORMATION;101;6260
1/3-12 S;5556;5627;FARSUND FM;FORMATION;39;6260
1/3-12 S;5627;5736;HAUGESUND FM;FORMATION;57;6260
1/3-12 S;5818;5931;SKAGERRAK FM;FORMATION;146;6260
1/5-2;2832;2840;FORTIES FM;FORMATION;44;238
1/5-2;2840;2848;SELE FM;FORMATION;142;238
1/5-2;2848;3033;LISTA FM;FORMATION;95;238
1/5-2;3033;3069;MAUREEN FM;FORMATION;102;238
1/5-2;3069;3152;EKOFISK FM;FORMATION;33;238
1/5-2;3152;3342;TOR FM;FORMATION;171;238
1/5-2;3342;3922;HOD FM;FORMATION;66;238
1/5-4 S;2903;2935;BALDER FM;FORMATION;6;4521
1/5-4 S;2935;2942;SELE FM;FORMATION;142;4521
1/5-4 S;2942;2978;LISTA FM;FORMATION;95;4521
1/5-4 S;2978;2994;VÅLE FM;FORMATION;190;4521
1/5-4 S;2994;3013;EKOFISK FM;FORMATION;33;4521
1/5-4 S;3013;3063;TOR FM;FORMATION;171;4521
1/5-4 S;3063;3077;HOD FM;FORMATION;66;4521
1/5-5;3209;3242;BALDER FM;FORMATION;6;7874
1/5-5;3242;3268;SELE FM;FORMATION;142;7874
1/5-5;3268;3459;LISTA FM;FORMATION;95;7874
1/5-5;3459;3483;VÅLE FM;FORMATION;190;7874
1/5-5;3483;3594;EKOFISK FM;FORMATION;33;7874
1/5-5;3594;4126;TOR FM;FORMATION;171;7874
1/5-5;4126;5228;HOD FM;FORMATION;66;7874
1/5-5;5228;5239;BLODØKS FM;FORMATION;13;7874
1/5-5;5239;5385;HIDRA FM;FORMATION;65;7874
1/5-5;5385;5459;RØDBY FM;FORMATION;137;7874
1/5-5;5459;5529;SOLA FM;FORMATION;152;7874
1/5-5;5529;5540;TUXEN FM;FORMATION;175;7874
1/5-5;5540;5712;ÅSGARD FM;FORMATION;198;7874
1/5-5;5712;5752;FARSUND FM;FORMATION;39;7874
1/5-5;5752;5831;HAUGESUND FM;FORMATION;57;7874
1/5-5;5831;5911;ULA FM;FORMATION;179;7874
1/5-5;5911;5942;BRYNE FM;FORMATION;19;7874
1/6-1;2942;2953;BALDER FM;FORMATION;6;239
1/6-1;2953;2995;SELE FM;FORMATION;142;239
1/6-1;2995;3106;LISTA FM;FORMATION;95;239
1/6-1;3106;3144;VÅLE FM;FORMATION;190;239
1/6-1;3144;3247;EKOFISK FM;FORMATION;33;239
1/6-1;3247;3566;TOR FM;FORMATION;171;239
1/6-1;3566;4144;HOD FM;FORMATION;66;239
1/6-2;2895;2902;BALDER FM;FORMATION;6;240
1/6-2;2902;2906;SELE FM;FORMATION;142;240
1/6-2;2906;2951;LISTA FM;FORMATION;95;240
1/6-2;2951;3024;VÅLE FM;FORMATION;190;240
1/6-2;3024;3090;EKOFISK FM;FORMATION;33;240
1/6-2;3090;3295;TOR FM;FORMATION;171;240
1/6-2;3295;3383;HOD FM;FORMATION;66;240
1/6-3;2907;2916;BALDER FM;FORMATION;6;241
1/6-3;2916;2947;SELE FM;FORMATION;142;241
1/6-3;2947;3110;LISTA FM;FORMATION;95;241
1/6-3;3110;3229;EKOFISK FM;FORMATION;33;241
1/6-3;3229;3343;TOR FM;FORMATION;171;241
1/6-4;3110;3124;BALDER FM;FORMATION;6;242
1/6-4;3124;3130;SELE FM;FORMATION;142;242
1/6-4;3130;3197;LISTA FM;FORMATION;95;242
1/6-4;3197;3253;ANDREW FM;FORMATION;5;242
1/6-4;3253;3335;LISTA FM;FORMATION;95;242
1/6-4;3335;3374;VÅLE FM;FORMATION;190;242
1/6-4;3374;3475;EKOFISK FM;FORMATION;33;242
1/6-4;3475;3810;TOR FM;FORMATION;171;242
1/6-5;1695;1701;BALDER FM;FORMATION;6;1508
1/6-5;1701;1710;SELE FM;FORMATION;142;1508
1/6-5;1710;1715;LISTA FM;FORMATION;95;1508
1/6-5;1715;1721;VÅLE FM;FORMATION;190;1508
1/6-5;1721;1725;EKOFISK FM;FORMATION;33;1508
1/6-5;1725;1732;TOR FM;FORMATION;171;1508
1/6-5;1732;1742;HOD FM;FORMATION;66;1508
1/6-6;3108;3118;BALDER FM;FORMATION;6;1839
1/6-6;3118;3121;SELE FM;FORMATION;142;1839
1/6-6;3121;3306;LISTA FM;FORMATION;95;1839
1/6-6;3306;3413;EKOFISK FM;FORMATION;33;1839
1/6-6;3413;3809;TOR FM;FORMATION;171;1839
1/6-6;3809;4651;HOD FM;FORMATION;66;1839
1/6-6;4651;4689;RØDBY FM;FORMATION;137;1839
1/6-6;4689;4694;SOLA FM;FORMATION;152;1839
1/6-6;4694;4746;TUXEN FM;FORMATION;175;1839
1/6-6;4746;4846;ÅSGARD FM;FORMATION;198;1839
1/6-6;4846;4876;MANDAL FM;FORMATION;101;1839
1/6-6;4876;5305;FARSUND FM;FORMATION;39;1839
1/6-6;5305;5457;HAUGESUND FM;FORMATION;57;1839
1/6-6;5457;5565;SMITH BANK FM;FORMATION;149;1839
1/6-7;3069;3080;BALDER FM;FORMATION;6;1928
1/6-7;3080;3086;SELE FM;FORMATION;142;1928
1/6-7;3086;3168;LISTA FM;FORMATION;95;1928
1/6-7;3168;3237;VIDAR FM;FORMATION;187;1928
1/6-7;3237;3249;LISTA FM;FORMATION;95;1928
1/6-7;3249;3278;VÅLE FM;FORMATION;190;1928
1/6-7;3278;3389;EKOFISK FM;FORMATION;33;1928
1/6-7;3389;3665;TOR FM;FORMATION;171;1928
1/6-7;3665;4146;HOD FM;FORMATION;66;1928
1/6-7;4146;4162;BLODØKS FM;FORMATION;13;1928
1/6-7;4162;4291;HIDRA FM;FORMATION;65;1928
1/6-7;4291;4336;RØDBY FM;FORMATION;137;1928
1/6-7;4336;4364;SOLA FM;FORMATION;152;1928
1/6-7;4364;4402;ÅSGARD FM;FORMATION;198;1928
1/6-7;4402;4448;MANDAL FM;FORMATION;101;1928
1/6-7;4448;4655;FARSUND FM;FORMATION;39;1928
1/6-7;4655;4995;HAUGESUND FM;FORMATION;57;1928
1/9-1;2872;2884;BALDER FM;FORMATION;6;243
1/9-1;2884;2944;SELE FM;FORMATION;142;243
1/9-1;2944;2947;LISTA FM;FORMATION;95;243
1/9-1;2947;2952;ANDREW FM;FORMATION;5;243
1/9-1;2952;3013;LISTA FM;FORMATION;95;243
1/9-1;3013;3036;VÅLE FM;FORMATION;190;243
1/9-1;3036;3104;EKOFISK FM;FORMATION;33;243
1/9-1;3104;3312;TOR FM;FORMATION;171;243
1/9-1;3312;3648;HOD FM;FORMATION;66;243
1/9-1;3648;3662;BLODØKS FM;FORMATION;13;243
1/9-1;3662;3703;HIDRA FM;FORMATION;65;243
1/9-1 R;2869;2881;BALDER FM;FORMATION;6;1444
1/9-1 R;2881;2941;SELE FM;FORMATION;142;1444
1/9-1 R;2941;2944;LISTA FM;FORMATION;95;1444
1/9-1 R;2944;2949;ANDREW FM;FORMATION;5;1444
1/9-1 R;2949;3010;LISTA FM;FORMATION;95;1444
1/9-1 R;3010;3033;VÅLE FM;FORMATION;190;1444
1/9-1 R;3033;3101;EKOFISK FM;FORMATION;33;1444
1/9-1 R;3101;3309;TOR FM;FORMATION;171;1444
1/9-1 R;3309;3645;HOD FM;FORMATION;66;1444
1/9-1 R;3645;3659;BLODØKS FM;FORMATION;13;1444
1/9-1 R;3659;3704;HIDRA FM;FORMATION;65;1444
1/9-2;2928;2953;BALDER FM;FORMATION;6;244
1/9-2;2953;3026;SELE FM;FORMATION;142;244
1/9-2;3026;3030;LISTA FM;FORMATION;95;244
1/9-2;3030;3033;ANDREW FM;FORMATION;5;244
1/9-2;3033;3096;LISTA FM;FORMATION;95;244
1/9-2;3096;3120;VÅLE FM;FORMATION;190;244
1/9-2;3120;3195;EKOFISK FM;FORMATION;33;244
1/9-2;3195;3308;TOR FM;FORMATION;171;244
1/9-2;3308;3459;HOD FM;FORMATION;66;244
1/9-3;1617;1634;NO FORMAL NAME;FORMATION;111;245
1/9-3;1634;1664;NO FORMAL NAME;FORMATION;111;245
1/9-3;1664;1683;NO FORMAL NAME;FORMATION;111;245
1/9-3;1683;2771;NO FORMAL NAME;FORMATION;111;245
1/9-3 R;1617;1634;NO FORMAL NAME;FORMATION;111;246
1/9-3 R;1634;1664;NO FORMAL NAME;FORMATION;111;246
1/9-3 R;1664;1683;NO FORMAL NAME;FORMATION;111;246
1/9-3 R;1683;2866;NO FORMAL NAME;FORMATION;111;246
1/9-3 R;2866;2905;BALDER FM;FORMATION;6;246
1/9-3 R;2905;2943;SELE FM;FORMATION;142;246
1/9-3 R;2943;3021;LISTA FM;FORMATION;95;246
1/9-3 R;3021;3081;MAUREEN FM;FORMATION;102;246
1/9-3 R;3081;3157;EKOFISK FM;FORMATION;33;246
1/9-3 R;3157;3395;TOR FM;FORMATION;171;246
1/9-3 R;3395;3651;HOD FM;FORMATION;66;246
1/9-3 R;3651;3683;BLODØKS FM;FORMATION;13;246
1/9-3 R;3683;3790;HIDRA FM;FORMATION;65;246
1/9-3 R;3790;4265;RØDBY FM;FORMATION;137;246
1/9-3 R;4265;4319;MANDAL FM;FORMATION;101;246
1/9-3 R;4319;4360;FARSUND FM;FORMATION;39;246
1/9-3 R;4360;4387;ELDFISK FM;FORMATION;34;246
1/9-3 R;4387;4570;HAUGESUND FM;FORMATION;57;246
1/9-4;2941;2960;BALDER FM;FORMATION;6;247
1/9-4;2960;3021;SELE FM;FORMATION;142;247
1/9-4;3021;3091;LISTA FM;FORMATION;95;247
1/9-4;3091;3114;VÅLE FM;FORMATION;190;247
1/9-4;3114;3212;EKOFISK FM;FORMATION;33;247
1/9-4;3212;3312;TOR FM;FORMATION;171;247
1/9-4;3312;3450;HOD FM;FORMATION;66;247
1/9-4;3450;3494;BLODØKS FM;FORMATION;13;247
1/9-4;3494;3646;HIDRA FM;FORMATION;65;247
1/9-4;3646;3665;RØDBY FM;FORMATION;137;247
1/9-4;3665;3690;ÅSGARD FM;FORMATION;198;247
1/9-4 R;2941;2960;BALDER FM;FORMATION;6;1727
1/9-4 R;2960;3021;SELE FM;FORMATION;142;1727
1/9-4 R;3021;3091;LISTA FM;FORMATION;95;1727
1/9-4 R;3091;3114;VÅLE FM;FORMATION;190;1727
1/9-4 R;3114;3212;EKOFISK FM;FORMATION;33;1727
1/9-4 R;3212;3312;TOR FM;FORMATION;171;1727
1/9-4 R;3312;3450;HOD FM;FORMATION;66;1727
1/9-4 R;3450;3494;BLODØKS FM;FORMATION;13;1727
1/9-4 R;3494;3646;HIDRA FM;FORMATION;65;1727
1/9-4 R;3646;3665;RØDBY FM;FORMATION;137;1727
1/9-4 R;3665;3690;ÅSGARD FM;FORMATION;198;1727
1/9-5;2981;3013;BALDER FM;FORMATION;6;248
1/9-5;3013;3095;SELE FM;FORMATION;142;248
1/9-5;3095;3192;LISTA FM;FORMATION;95;248
1/9-5;3192;3207;VÅLE FM;FORMATION;190;248
1/9-5;3207;3282;EKOFISK FM;FORMATION;33;248
1/9-5;3282;3346;TOR FM;FORMATION;171;248
1/9-5;3346;3450;HOD FM;FORMATION;66;248
1/9-6 S;3242;3275;BALDER FM;FORMATION;6;44
1/9-6 S;3275;3322;SELE FM;FORMATION;142;44
1/9-6 S;3322;3400;LISTA FM;FORMATION;95;44
1/9-6 S;3400;3411;VÅLE FM;FORMATION;190;44
1/9-6 S;3411;3516;EKOFISK FM;FORMATION;33;44
1/9-6 S;3516;3781;TOR FM;FORMATION;171;44
1/9-6 S;3781;3880;HOD FM;FORMATION;66;44
1/9-7;2920;2931;BALDER FM;FORMATION;6;4652
1/9-7;2931;2987;SELE FM;FORMATION;142;4652
1/9-7;2987;2989;LISTA FM;FORMATION;95;4652
1/9-7;2989;2992;ANDREW FM;FORMATION;5;4652
1/9-7;2992;3065;LISTA FM;FORMATION;95;4652
1/9-7;3065;3093;VÅLE FM;FORMATION;190;4652
1/9-7;3093;3159;EKOFISK FM;FORMATION;33;4652
1/9-7;3159;3364;TOR FM;FORMATION;171;4652
1/9-7;3364;3705;HOD FM;FORMATION;66;4652
1/9-7;3705;3789;HIDRA FM;FORMATION;65;4652
1/9-7;3789;3867;RØDBY FM;FORMATION;137;4652
1/9-7;3867;3948;SOLA FM;FORMATION;152;4652
1/9-7;3948;4001;TUXEN FM;FORMATION;175;4652
1/9-7;4001;4313;ÅSGARD FM;FORMATION;198;4652
1/9-7;4313;4400;MANDAL FM;FORMATION;101;4652
1/9-7;4400;4504;FARSUND FM;FORMATION;39;4652
1/9-7;4504;4911;HAUGESUND FM;FORMATION;57;4652
1/9-7;4911;4986;SMITH BANK FM;FORMATION;149;4652
2/1-1;1981;2207;NO FORMAL NAME;FORMATION;111;249
2/1-1;2926;2937;BALDER FM;FORMATION;6;249
2/1-1;2937;2944;SELE FM;FORMATION;142;249
2/1-1;2944;2981;LISTA FM;FORMATION;95;249
2/1-1;2981;3013;FORTIES FM;FORMATION;44;249
2/1-1;3013;3039;LISTA FM;FORMATION;95;249
2/1-1;3039;3104;VIDAR FM;FORMATION;187;249
2/1-1;3104;3128;LISTA FM;FORMATION;95;249
2/1-1;3128;3246;EKOFISK FM;FORMATION;33;249
2/1-1;3246;3600;TOR FM;FORMATION;171;249
2/1-1;3600;3742;HOD FM;FORMATION;66;249
2/1-1;3742;3755;RØDBY FM;FORMATION;137;249
2/1-1;3755;3775;TUXEN FM;FORMATION;175;249
2/1-1;3775;3886;ÅSGARD FM;FORMATION;198;249
2/1-2;2524;2581;BALDER FM;FORMATION;6;250
2/1-2;2581;2603;SELE FM;FORMATION;142;250
2/1-2;2603;2692;LISTA FM;FORMATION;95;250
2/1-2;2692;2744;MAUREEN FM;FORMATION;102;250
2/1-2;2744;3015;TOR FM;FORMATION;171;250
2/1-2;3015;3122;HOD FM;FORMATION;66;250
2/1-2;3122;3299;RØDBY FM;FORMATION;137;250
2/1-2;3299;3316;MANDAL FM;FORMATION;101;250
2/1-2;3316;3347;ULA FM;FORMATION;179;250
2/1-2;3347;3384;BRYNE FM;FORMATION;19;250
2/1-2;3384;3540;SMITH BANK FM;FORMATION;149;250
2/1-3;2738;2798;SELE FM;FORMATION;142;251
2/1-3;2798;2845;BALDER FM;FORMATION;6;251
2/1-3;2845;2910;FORTIES FM;FORMATION;44;251
2/1-3;2910;2987;LISTA FM;FORMATION;95;251
2/1-3;2987;3000;EKOFISK FM;FORMATION;33;251
2/1-3;3000;3424;TOR FM;FORMATION;171;251
2/1-3;3424;3520;HOD FM;FORMATION;66;251
2/1-3;3520;3524;BLODØKS FM;FORMATION;13;251
2/1-3;3524;3534;HIDRA FM;FORMATION;65;251
2/1-3;3534;3579;RØDBY FM;FORMATION;137;251
2/1-3;3579;3625;TUXEN FM;FORMATION;175;251
2/1-3;3625;3791;ÅSGARD FM;FORMATION;198;251
2/1-3;3791;3820;MANDAL FM;FORMATION;101;251
2/1-3;3820;3991;ULA FM;FORMATION;179;251
2/1-3;3991;4101;BRYNE FM;FORMATION;19;251
2/1-3;4101;4163;SKAGERRAK FM;FORMATION;146;251
2/1-3;4163;4219;SMITH BANK FM;FORMATION;149;251
2/1-4;2917;2932;BALDER FM;FORMATION;6;48
2/1-4;2932;2944;SELE FM;FORMATION;142;48
2/1-4;2944;3075;LISTA FM;FORMATION;95;48
2/1-4;3075;3136;VIDAR FM;FORMATION;187;48
2/1-4;3136;3174;LISTA FM;FORMATION;95;48
2/1-4;3174;3190;EKOFISK FM;FORMATION;33;48
2/1-4;3190;3623;TOR FM;FORMATION;171;48
2/1-4;3623;3710;HOD FM;FORMATION;66;48
2/1-4;3710;3723;BLODØKS FM;FORMATION;13;48
2/1-4;3723;3741;HIDRA FM;FORMATION;65;48
2/1-4;3741;3775;RØDBY FM;FORMATION;137;48
2/1-4;3775;3785;SOLA FM;FORMATION;152;48
2/1-4;3785;3825;TUXEN FM;FORMATION;175;48
2/1-4;3825;4004;ÅSGARD FM;FORMATION;198;48
2/1-4;4004;4040;MANDAL FM;FORMATION;101;48
2/1-4;4040;4137;NO FORMAL NAME;FORMATION;111;48
2/1-4;4137;4164;FARSUND FM;FORMATION;39;48
2/1-4;4164;4251;HAUGESUND FM;FORMATION;57;48
2/1-4;4251;4261;ULA FM;FORMATION;179;48
2/1-4;4261;4346;BRYNE FM;FORMATION;19;48
2/1-4;4346;4470;SKAGERRAK FM;FORMATION;146;48
2/1-4;4470;4485;SMITH BANK FM;FORMATION;149;48
2/1-5;2886;2907;BALDER FM;FORMATION;6;63
2/1-5;2907;2929;SELE FM;FORMATION;142;63
2/1-5;2929;2961;FORTIES FM;FORMATION;44;63
2/1-5;2961;3002;LISTA FM;FORMATION;95;63
2/1-5;3002;3101;VIDAR FM;FORMATION;187;63
2/1-5;3101;3136;VÅLE FM;FORMATION;190;63
2/1-5;3136;3237;EKOFISK FM;FORMATION;33;63
2/1-5;3237;3597;TOR FM;FORMATION;171;63
2/1-5;3597;3741;HOD FM;FORMATION;66;63
2/1-5;3741;3758;BLODØKS FM;FORMATION;13;63
2/1-5;3758;3768;HIDRA FM;FORMATION;65;63
2/1-5;3768;3790;RØDBY FM;FORMATION;137;63
2/1-5;3790;3797;SOLA FM;FORMATION;152;63
2/1-5;3797;3833;TUXEN FM;FORMATION;175;63
2/1-5;3833;3882;ÅSGARD FM;FORMATION;198;63
2/1-5;3882;3914;MANDAL FM;FORMATION;101;63
2/1-5;3914;4053;FARSUND FM;FORMATION;39;63
2/1-5;4053;4193;HAUGESUND FM;FORMATION;57;63
2/1-5;4193;4199;ULA FM;FORMATION;179;63
2/1-5;4199;4454;BRYNE FM;FORMATION;19;63
2/1-6;2947;2970;BALDER FM;FORMATION;6;109
2/1-6;2970;2987;SELE FM;FORMATION;142;109
2/1-6;2987;3033;FORTIES FM;FORMATION;44;109
2/1-6;3033;3128;LISTA FM;FORMATION;95;109
2/1-6;3128;3173;VIDAR FM;FORMATION;187;109
2/1-6;3173;3196;LISTA FM;FORMATION;95;109
